survey=ada_a5_e5c_geometry_ablation
label,key_count,tokens_pruned_legacy,tokens_pruned_v2,total,legacy_exact,v2_exact,v2_gain
natural-245-a1.5-p16-l8,128,24,24,128,true,true,0
natural-246-a1.5-p16-l8,256,72,72,256,true,true,0
natural-247-a1.5-p16-l8,512,136,136,512,true,true,0
natural-248-a1.5-p16-l8,64,0,0,64,true,true,0
natural-249-a1.5-p16-l8,128,0,0,128,true,true,0
natural-250-a1.5-p16-l8,256,0,0,256,true,true,0
natural-251-a1.5-p16-l8,512,0,0,512,true,true,0
natural-252-a1.5-p16-l8,64,0,0,64,true,true,0
natural-253-a1.5-p16-l8,128,0,0,128,true,true,0
natural-254-a1.5-p16-l8,256,8,8,256,true,true,0
natural-255-a1.5-p16-l8,512,16,16,512,true,true,0
natural-256-a1.5-p16-l8,64,0,0,64,true,true,0
natural-257-a1.5-p16-l8,128,0,0,128,true,true,0
natural-258-a1.5-p16-l8,256,0,0,256,true,true,0
natural-259-a1.5-p16-l8,512,0,0,512,true,true,0
natural-260-a1.5-p16-l8,64,0,0,64,true,true,0
natural-261-a1.5-p16-l8,128,0,0,128,true,true,0
natural-262-a1.5-p16-l8,256,0,0,256,true,true,0
natural-263-a1.5-p16-l8,512,0,0,512,true,true,0
natural-264-a1.5-p16-l8,64,0,0,64,true,true,0
natural-265-a1.5-p16-l8,128,0,0,128,true,true,0
natural-266-a1.5-p16-l8,256,0,0,256,true,true,0
natural-267-a1.5-p16-l8,512,0,0,512,true,true,0
natural-268-a1.5-p16-l8,64,0,0,64,true,true,0
natural-269-a1.5-p16-l8,128,0,0,128,true,true,0
natural-270-a1.5-p16-l8,256,0,0,256,true,true,0
natural-271-a1.5-p16-l8,512,0,0,512,true,true,0
natural-272-a1.5-p16-l8,64,0,0,64,true,true,0
natural-273-a1.5-p16-l8,128,24,24,128,true,true,0
natural-274-a1.5-p16-l8,256,144,160,256,true,true,16
natural-275-a1.5-p16-l8,512,88,120,512,true,true,32
natural-276-a1.5-p16-l8,64,8,8,64,true,true,0
natural-277-a1.5-p16-l8,128,48,56,128,true,true,8
natural-278-a1.5-p16-l8,256,120,120,256,true,true,0
natural-279-a1.5-p16-l8,512,288,288,512,true,true,0
natural-280-a1.5-p16-l8,64,8,8,64,true,true,0
natural-281-a1.5-p16-l8,128,8,8,128,true,true,0
natural-282-a1.5-p16-l8,256,24,24,256,true,true,0
natural-283-a1.5-p16-l8,512,16,24,512,true,true,8
natural-284-a1.5-p16-l8,64,0,0,64,true,true,0
natural-285-a1.5-p16-l8,128,0,0,128,true,true,0
natural-286-a1.5-p16-l8,256,0,0,256,true,true,0
natural-287-a1.5-p16-l8,512,0,0,512,true,true,0
natural-288-a1.5-p16-l8,64,0,0,64,true,true,0
natural-289-a1.5-p16-l8,128,0,0,128,true,true,0
natural-290-a1.5-p16-l8,256,0,0,256,true,true,0
natural-291-a1.5-p16-l8,512,8,8,512,true,true,0
natural-292-a1.5-p16-l8,64,8,8,64,true,true,0
natural-293-a1.5-p16-l8,128,40,40,128,true,true,0
natural-294-a1.5-p16-l8,256,8,8,256,true,true,0
natural-295-a1.5-p16-l8,512,80,80,512,true,true,0
natural-296-a1.5-p16-l8,64,0,0,64,true,true,0
natural-297-a1.5-p16-l8,128,0,0,128,true,true,0
natural-298-a1.5-p16-l8,256,8,8,256,true,true,0
natural-299-a1.5-p16-l8,512,8,8,512,true,true,0
natural-300-a1.5-p16-l8,64,0,0,64,true,true,0
natural-301-a1.5-p16-l8,128,8,8,128,true,true,0
natural-302-a1.5-p16-l8,256,8,0,256,true,true,-8
natural-303-a1.5-p16-l8,512,8,8,512,true,true,0
natural-304-a1.5-p16-l8,64,0,0,64,true,true,0
